super category,category,sub category,brand,Priority,Expected Date
Electronics,Mobiles and Tablets,Mobile Phones,Apple,1,
Electronics,Mobiles and Tablets,Mobile Phones,Samsung,1,
Electronics,Mobiles and Tablets,Mobile Phones,Infinix,1,
Electronics,Mobiles and Tablets,Mobile Phones,SONY,1,
Electronics,Mobiles and Tablets,Mobile Phones,Blackberry,1,
Electronics,Cameras and Photography,Digital Cameras,NIKON,1,
Fashion,Mens Accessories,Watches,Casio,2,
Electronics,Mobiles and Tablets,Mobile Phones,HUAWEI,1,
Electronics,Gaming and Accessories,Gaming Consoles,SONY,1,
Electronics,Mobiles and Tablets,Mobile Accessories,Apple,1,
Electronics,Mobiles and Tablets,Mobile Phones,HTC,1,
Electronics,Mobiles and Tablets,Tablets,Apple,1,
Electronics,"TVs, Audio and Video",Televisions,Samsung,1,
Electronics,Cameras and Photography,Digital Cameras,Canon,1,
Electronics,Mobiles and Tablets,Mobile Phones,LG,1,
Electronics,Mobiles and Tablets,Mobile Phones,Xtouch,1,
Electronics,"Computers, Laptops and Storage",Laptops,Apple,1,
Fashion,Mens Accessories,Watches,Diesel,2,
Electronics,Mobiles and Tablets,Mobile Accessories,Samsung,1,
Electronics,Mobiles and Tablets,Mobile Phones,Lenovo,1,
Electronics,Mobiles and Tablets,Mobile Accessories,Sony,1,
Fashion,Womens Accessories,Watches,Casio,2,
Electronics,Cameras and Photography,Digital Cameras,SONY,1,
Electronics,Mobiles and Tablets,Tablets,SAMSUNG,1,
Electronics,"TVs, Audio and Video",Televisions,Eurostar,1,
Electronics,Mobiles and Tablets,Mobile Phones,Nokia,1,
Electronics,"TVs, Audio and Video",Speakers,JBL,1,
"Toys, Kids and Baby",Toys and Activities,Ride On and Scooters,Smart,3,
Electronics,"Computers, Laptops and Storage",Laptops,HP,1,
Electronics,Mobiles and Tablets,Mobile Phones,ASUS,1,
Electronics,Mobiles and Tablets,Tablets,Microsoft,1,
Electronics,"TVs, Audio and Video",Headphones and Earphones,Beats,1,
Electronics,Cameras and Photography,Digital Cameras,GOPRO,1,
Electronics,Mobiles and Tablets,Mobile Phones,Samsung,1,
Fashion,Unisex Accessories,Sunglasses,RAY BAN,2,
Home and Kitchen,Home Furnishing,Bed Linen,Knights bridge,3,
"Toys, Kids and Baby",Toys and Activities,Ride On and Scooters,I Touch,3,
"Beauty, Personal Care and Fragrances",Fragrances,Mens Fragrances,Calvin Klein,2,
Fashion,Mens Accessories,Sunglasses,Ray Ban,2,
Electronics,Cameras and Photography,Lenses,NIKON,1,
Electronics,Mobiles and Tablets,Tablets,Xtouch,1,
Electronics,Mobiles and Tablets,Mobile Accessories,Xtouch,1,
Fashion,Unisex Accessories,Watches,Casio,2,
"Beauty, Personal Care and Fragrances",Fragrances,Womens Fragrances,Calvin Klein,2,
"Beauty, Personal Care and Fragrances",Fragrances,Mens Fragrances,Hugo Boss,2,
Electronics,"TVs, Audio and Video",Televisions,Nikai,1,
Fashion,Womens Accessories,Watches,Michael Kors,2,
Electronics,"Computers, Laptops and Storage",Laptops,Dell,1,
Home and Kitchen,Small Appliances,"Juicer, Mixers and Grinders",Knewood,3,
Fashion,Mens Accessories,Watches,FITRON,2,
Electronics,Cameras and Photography,Lenses,Canon,1,
Electronics,Mobiles and Tablets,Mobile Accessories,Huawei,1,
Electronics,Gaming and Accessories,Gaming Consoles,PS4,1,
"Beauty, Personal Care and Fragrances",Fragrances,Womens Fragrances,Gucci,2,
Fashion,Mens Accessories,watches,Fossil,2,
Electronics,Mobiles and Tablets,Mobile Accessories,Infinix,1,
"Beauty, Personal Care and Fragrances",Fragrances,Womens Fragrances,Dolce and Gabbana,2,
"Beauty, Personal Care and Fragrances",Fragrances,Mens Fragrances,Givenchy,2,
